Area,ISO 3 code,Date,Area type,Continent,Ember region,EU,OECD,G20,G7,ASEAN,Category,Subcategory,Variable,Unit,Value,YoY absolute change,YoY % change,Year,Month,Quarter,YearMonth,Adalah_Agregat,Adalah_Provisional
ASEAN,,2019-02-01,Region,,,False,False,False,False,False,Power sector emissions,Fuel,Other Fossil,mtCO2,0.72,,,2019,2,1,2019-02,False,False
ASEAN,,2019-02-01,Region,,,False,False,False,False,False,Power sector emissions,Fuel,Other Renewables,mtCO2,0.11,,,2019,2,1,2019-02,False,False
ASEAN,,2019-02-01,Region,,,False,False,False,False,False,Power sector emissions,Fuel,Solar,mtCO2,0.03,,,2019,2,1,2019-02,False,False
ASEAN,,2019-02-01,Region,,,False,False,False,False,False,Power sector emissions,Fuel,Wind,mtCO2,0.0,,,2019,2,1,2019-02,False,False
ASEAN,,2019-02-01,Region,,,False,False,False,False,False,Power sector emissions,Total,Total emissions,mtCO2,52.28,,,2019,2,1,2019-02,False,False
ASEAN,,2019-03-01,Region,,,False,False,False,False,False,Electricity demand,Demand,Demand,TWh,87.88,,,2019,3,1,2019-03,False,False
ASEAN,,2019-03-01,Region,,,False,False,False,False,False,Electricity generation,Aggregate fuel,Clean,%,20.23,,,2019,3,1,2019-03,True,False
ASEAN,,2019-03-01,Region,,,False,False,False,False,False,Electricity generation,Aggregate fuel,Fossil,%,79.76,,,2019,3,1,2019-03,True,False
ASEAN,,2019-03-01,Region,,,False,False,False,False,False,Electricity generation,Aggregate fuel,Gas and Other Fossil,%,37.44,,,2019,3,1,2019-03,True,False
ASEAN,,2019-03-01,Region,,,False,False,False,False,False,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,18.98,,,2019,3,1,2019-03,True,False
ASEAN,,2019-03-01,Region,,,False,False,False,False,False,Electricity generation,Aggregate fuel,Renewables,%,20.23,,,2019,3,1,2019-03,True,False
ASEAN,,2019-03-01,Region,,,False,False,False,False,False,Electricity generation,Aggregate fuel,Wind and Solar,%,1.25,,,2019,3,1,2019-03,True,False
ASEAN,,2019-03-01,Region,,,False,False,False,False,False,Electricity generation,Aggregate fuel,Clean,TWh,17.79,,,2019,3,1,2019-03,True,False
ASEAN,,2019-03-01,Region,,,False,False,False,False,False,Electricity generation,Aggregate fuel,Fossil,TWh,70.09,,,2019,3,1,2019-03,True,False
ASEAN,,2019-03-01,Region,,,False,False,False,False,False,Electricity generation,Aggregate fuel,Gas and Other Fossil,TWh,32.9,,,2019,3,1,2019-03,True,False
ASEAN,,2019-03-01,Region,,,False,False,False,False,False,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",TWh,16.69,,,2019,3,1,2019-03,True,False
ASEAN,,2019-03-01,Region,,,False,False,False,False,False,Electricity generation,Aggregate fuel,Renewables,TWh,17.79,,,2019,3,1,2019-03,True,False
ASEAN,,2019-03-01,Region,,,False,False,False,False,False,Electricity generation,Aggregate fuel,Wind and Solar,TWh,1.1,,,2019,3,1,2019-03,True,False
ASEAN,,2019-03-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Bioenergy,%,3.09,,,2019,3,1,2019-03,False,False
ASEAN,,2019-03-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Coal,%,42.32,,,2019,3,1,2019-03,False,False
ASEAN,,2019-03-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Gas,%,36.06,,,2019,3,1,2019-03,False,False
ASEAN,,2019-03-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Hydro,%,12.57,,,2019,3,1,2019-03,False,False
ASEAN,,2019-03-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Nuclear,%,0.0,,,2019,3,1,2019-03,False,False
ASEAN,,2019-03-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Other Fossil,%,1.38,,,2019,3,1,2019-03,False,False
ASEAN,,2019-03-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Other Renewables,%,3.32,,,2019,3,1,2019-03,False,False
ASEAN,,2019-03-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Solar,%,0.86,,,2019,3,1,2019-03,False,False
ASEAN,,2019-03-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Wind,%,0.39,,,2019,3,1,2019-03,False,False
ASEAN,,2019-03-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Bioenergy,TWh,2.72,,,2019,3,1,2019-03,False,False
ASEAN,,2019-03-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Coal,TWh,37.19,,,2019,3,1,2019-03,False,False
ASEAN,,2019-03-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Gas,TWh,31.69,,,2019,3,1,2019-03,False,False
ASEAN,,2019-03-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Hydro,TWh,11.05,,,2019,3,1,2019-03,False,False
ASEAN,,2019-03-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Nuclear,TWh,0.0,,,2019,3,1,2019-03,False,False
ASEAN,,2019-03-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Other Fossil,TWh,1.21,,,2019,3,1,2019-03,False,False
ASEAN,,2019-03-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Other Renewables,TWh,2.92,,,2019,3,1,2019-03,False,False
ASEAN,,2019-03-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Solar,TWh,0.76,,,2019,3,1,2019-03,False,False
ASEAN,,2019-03-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Wind,TWh,0.34,,,2019,3,1,2019-03,False,False
ASEAN,,2019-03-01,Region,,,False,False,False,False,False,Electricity generation,Total,Total Generation,TWh,87.88,,,2019,3,1,2019-03,False,False
ASEAN,,2019-03-01,Region,,,False,False,False,False,False,Electricity imports,Electricity imports,Net Imports,TWh,,,,2019,3,1,2019-03,False,False
ASEAN,,2019-03-01,Region,,,False,False,False,False,False,Power sector emissions,Aggregate fuel,Clean,mtCO2,1.02,,,2019,3,1,2019-03,True,False
ASEAN,,2019-03-01,Region,,,False,False,False,False,False,Power sector emissions,Aggregate fuel,Fossil,mtCO2,53.45,,,2019,3,1,2019-03,True,False
ASEAN,,2019-03-01,Region,,,False,False,False,False,False,Power sector emissions,Aggregate fuel,Gas and Other Fossil,mtCO2,20.0,,,2019,3,1,2019-03,True,False
ASEAN,,2019-03-01,Region,,,False,False,False,False,False,Power sector emissions,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",mtCO2,0.98,,,2019,3,1,2019-03,True,False
ASEAN,,2019-03-01,Region,,,False,False,False,False,False,Power sector emissions,Aggregate fuel,Renewables,mtCO2,1.02,,,2019,3,1,2019-03,True,False
ASEAN,,2019-03-01,Region,,,False,False,False,False,False,Power sector emissions,Aggregate fuel,Wind and Solar,mtCO2,0.04,,,2019,3,1,2019-03,True,False
ASEAN,,2019-03-01,Region,,,False,False,False,False,False,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,619.82,,,2019,3,1,2019-03,False,False
ASEAN,,2019-03-01,Region,,,False,False,False,False,False,Power sector emissions,Fuel,Bioenergy,mtCO2,0.61,,,2019,3,1,2019-03,False,False
ASEAN,,2019-03-01,Region,,,False,False,False,False,False,Power sector emissions,Fuel,Coal,mtCO2,33.45,,,2019,3,1,2019-03,False,False
ASEAN,,2019-03-01,Region,,,False,False,False,False,False,Power sector emissions,Fuel,Gas,mtCO2,19.16,,,2019,3,1,2019-03,False,False
ASEAN,,2019-03-01,Region,,,False,False,False,False,False,Power sector emissions,Fuel,Hydro,mtCO2,0.26,,,2019,3,1,2019-03,False,False
ASEAN,,2019-03-01,Region,,,False,False,False,False,False,Power sector emissions,Fuel,Nuclear,mtCO2,0.0,,,2019,3,1,2019-03,False,False
ASEAN,,2019-03-01,Region,,,False,False,False,False,False,Power sector emissions,Fuel,Other Fossil,mtCO2,0.84,,,2019,3,1,2019-03,False,False
ASEAN,,2019-03-01,Region,,,False,False,False,False,False,Power sector emissions,Fuel,Other Renewables,mtCO2,0.11,,,2019,3,1,2019-03,False,False
ASEAN,,2019-03-01,Region,,,False,False,False,False,False,Power sector emissions,Fuel,Solar,mtCO2,0.04,,,2019,3,1,2019-03,False,False
ASEAN,,2019-03-01,Region,,,False,False,False,False,False,Power sector emissions,Fuel,Wind,mtCO2,0.0,,,2019,3,1,2019-03,False,False
ASEAN,,2019-03-01,Region,,,False,False,False,False,False,Power sector emissions,Total,Total emissions,mtCO2,54.47,,,2019,3,1,2019-03,False,False
ASEAN,,2019-04-01,Region,,,False,False,False,False,False,Electricity demand,Demand,Demand,TWh,91.58,,,2019,4,2,2019-04,False,False
ASEAN,,2019-04-01,Region,,,False,False,False,False,False,Electricity generation,Aggregate fuel,Clean,%,20.77,,,2019,4,2,2019-04,True,False
ASEAN,,2019-04-01,Region,,,False,False,False,False,False,Electricity generation,Aggregate fuel,Fossil,%,79.23,,,2019,4,2,2019-04,True,False
ASEAN,,2019-04-01,Region,,,False,False,False,False,False,Electricity generation,Aggregate fuel,Gas and Other Fossil,%,36.97,,,2019,4,2,2019-04,True,False
ASEAN,,2019-04-01,Region,,,False,False,False,False,False,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,19.62,,,2019,4,2,2019-04,True,False
ASEAN,,2019-04-01,Region,,,False,False,False,False,False,Electricity generation,Aggregate fuel,Renewables,%,20.77,,,2019,4,2,2019-04,True,False
ASEAN,,2019-04-01,Region,,,False,False,False,False,False,Electricity generation,Aggregate fuel,Wind and Solar,%,1.15,,,2019,4,2,2019-04,True,False
